[datetime.date(2012, 5, 20), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 19), '5', '2', '34', '34', '15', '2', '16', '44', None]
[datetime.date(2012, 5, 18), '7', '4', '44', '44', '19', '3', '23', '27', '151']
[datetime.date(2012, 5, 17), '2', '2', '43', '43', '8', None, '11', '24', '151']
[datetime.date(2012, 5, 16), '6', '1', '41', '41', '7', '1', '6', '30', '123']
[datetime.date(2012, 5, 15), '7', '3', '60', '60', '3', None, '3', '21', '116']
[datetime.date(2012, 5, 14), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 13), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 12), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 11), '5', '5', '43', '43', '14', '1', '16', '35', '177']
[datetime.date(2012, 5, 10), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 9), '3', '3', '49', '49', '13', None, '13', '14', '142']
